Condition,intensity,ratio
 Control,1698.39,0.807567
 Control,1429.21,0.707803
 Control,1197.43,0.871154
 Control,1161.83,0.831443
 Control,879.838,0.983511
 Control,874.773,0.766772
 Control,765.094,0.720085
 Control,645.68,0.76409
 Control,607.838,0.633214
 Control,582.271,0.834569
 Control,573.007,0.809078
 Control,504.293,0.694043
 Control,431.475,0.724326
 Control,422.66,0.569857
 Control,401.895,0.723657
 Control,391.738,0.782493
 Control,387.483,0.687039
 Control,378.003,0.787921
 Control,370.533,0.70864
 Control,365.188,0.974597
 Control,336.272,0.711307
 Control,331.312,0.702809
 Control,324.943,0.673631
 Control,288.715,0.788322
 Control,285.078,0.754153
 Control,274.712,0.758172
 Control,265.72,0.711341
 Control,264.769,0.698301
 Control,251.047,0.717433
 Control,243.359,0.824251
 Control,239.741,0.772997
 Control,237.061,0.638332
 Control,227.611,0.772532
 Control,227.099,0.716471
 Control,210.87,0.727309
 Control,198.097,0.685852
 Control,194.8,0.740464
 Control,191.598,0.665473
 Control,178.868,0.636346
 Control,173.018,0.67318
 Control,172.755,0.843259
 Control,144.598,0.738324
 Control,139.139,0.818901
 Control,133.712,0.693717
 Control,102.962,0.629846
 Control,102.958,0.677805
 Control,92.5354,0.672604
 Control,88.5657,0.680524
 Control,86.4528,0.635426
 Control,66.4566,0.645182
 Control,49.8681,0.631873
01,572.287,0.846366
01,430.937,0.918764
01,361.54,0.912502
01,307.741,1.0055
01,297.858,0.891115
01,280.487,1.14641
01,278.264,0.866341
01,278.244,0.964837
01,273.118,1.18332
01,268.515,0.730115
01,255.529,0.850897
01,202.518,0.742864
01,180.643,0.804518
01,164.774,0.758478
01,162.695,0.754515
01,161.275,0.738183
01,153.465,0.720256
01,143.07,0.723264
01,140.131,0.753788
01,135.789,0.792612
01,133.454,0.808575
01,133.452,0.873727
01,130.27,0.883207
01,127.894,0.676569
01,125.291,0.689013
01,120.992,0.838361
01,111.84,0.72895
01,109.343,0.817463
01,104.408,0.893889
01,102.063,1.0381
01,98.2561,0.818309
01,95.9063,0.776858
01,95.1109,0.545212
01,93.045,0.870494
01,92.9858,0.826946
01,92.8717,0.854144
01,88.9603,0.725829
01,88.6732,0.774138
01,87.417,0.643207
01,85.4603,0.740819
01,85.1363,0.855862
01,82.5252,0.6314
01,79.3305,0.72209
01,78.4527,0.739255
01,76.8503,0.801294
01,72.9044,0.670951
01,72.8363,0.720769
01,67.6577,0.753276
01,64.2461,0.582269
01,63.7026,0.97346
01,61.0626,0.694889
01,59.7732,0.825846
01,55.8342,0.699316
01,53.3537,0.646163
01,53.1289,0.896274
01,48.8469,0.757356
01,48.2651,0.709378
01,47.8843,0.732561
01,47.8263,0.856031
01,47.5548,0.764796
01,46.4681,0.726367
01,45.9279,0.761288
01,43.7913,0.567124
01,41.1529,0.689162
01,39.9687,0.744091
01,35.8305,0.629497
01,33.3524,0.745194
01,31.8168,0.722711
01,31.3593,0.688257
01,30.2509,1.34151
02,598.693,1.04029
02,344.409,1.00078
02,301.23,1.21597
02,260.991,1.21458
02,241.3,1.39795
02,222.299,0.828419
02,210.604,1.11681
02,110.073,1.52753
02,103.454,0.983924
02,75.8408,0.876815
02,63.0224,0.716905
02,57.6134,0.914328
02,56.9464,0.874442
02,56.3939,1.91092
02,50.3405,0.821925
02,50.09,1.09231
02,49.1108,0.632571
02,45.9038,0.827995
02,45.5008,0.94859
02,43.1892,1.37713
02,43.0446,0.707284
02,42.9815,0.68206
02,42.7821,0.664631
02,41.122,0.848541
02,36.7642,0.838428
02,35.4403,0.972263
02,35.0371,0.880832
02,34.493,0.832873
02,34.3449,0.691174
02,33.4846,0.849629
02,33.3999,0.658219
02,33.2824,0.728791
02,33.1225,1.26894
02,32.1731,0.814118
02,32.0687,0.938346
02,31.3082,0.681879
02,31.1849,0.850001
02,31.029,0.783526
02,30.6612,0.835626
02,30.6278,0.770759
02,30.6002,0.932081
02,30.041,0.839169
02,29.865,1.0025
02,29.7971,0.675661
02,29.2065,0.800603
02,29.0404,0.802749
02,28.7792,0.8759
02,28.6537,3.49024
02,28.6096,0.707853
02,28.3337,1.00935
02,27.5916,1.14638
02,26.784,0.827484
02,26.1747,0.838771
02,25.9239,0.92458
02,25.8823,0.936576
02,25.6735,1.08958
02,23.7408,0.885344
02,22.7844,0.876978
02,22.1184,1.11655
02,22.0152,0.695477
02,21.9074,1.27532
02,21.2508,0.783075
02,19.8169,1.27453
